Serial_No,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False
53,Persian,Normal,,440,65,70,60,65,65,115,1,False
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False
94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False
101,Electrode,Electric,,480,60,50,70,80,80,140,1,False
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False
229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False
243,Raikou,Electric,,580,90,85,75,115,100,115,2,True
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False
310,Manectric,Electric,,475,70,75,60,105,60,105,3,False
310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False
319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False
359,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,False
373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False
376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True
